,input,filtered
FS-115E_R1_001.ITS1.fastq.gz,3,3
FS-115N_R1_001.ITS1.fastq.gz,881,751
FS-115W_R1_001.ITS1.fastq.gz,2583,2373
FS-116E_R1_001.ITS1.fastq.gz,3405,2768
FS-116N_R1_001.ITS1.fastq.gz,30572,26837
FS-116W_R1_001.ITS1.fastq.gz,5157,4499
FS-119E_R1_001.ITS1.fastq.gz,171,112
FS-119N_R1_001.ITS1.fastq.gz,10812,8203
FS-119W_R1_001.ITS1.fastq.gz,12991,11106
FS-120E_R1_001.ITS1.fastq.gz,96,83
FS-120N_R1_001.ITS1.fastq.gz,487,447
FS-120W_R1_001.ITS1.fastq.gz,304,277
FS-1E_R1_001.ITS1.fastq.gz,19005,17552
FS-1N_R1_001.ITS1.fastq.gz,9933,8952
FS-1W_R1_001.ITS1.fastq.gz,128,119
FS-2E_R1_001.ITS1.fastq.gz,595,569
FS-2N_R1_001.ITS1.fastq.gz,15660,13928
FS-2W_R1_001.ITS1.fastq.gz,16975,15307
FS-31E_R1_001.ITS1.fastq.gz,1,0
FS-31N_R1_001.ITS1.fastq.gz,6,3
FS-32E_R1_001.ITS1.fastq.gz,5648,5089
FS-32N_R1_001.ITS1.fastq.gz,1307,1187
FS-32W_R1_001.ITS1.fastq.gz,1274,1170
FS-41E_R1_001.ITS1.fastq.gz,148,84
FS-41N_R1_001.ITS1.fastq.gz,1319,940
FS-41W_R1_001.ITS1.fastq.gz,3,1
FS-42E_R1_001.ITS1.fastq.gz,8606,7520
FS-42N_R1_001.ITS1.fastq.gz,179,173
FS-42W_R1_001.ITS1.fastq.gz,647,430
FS-53E_R1_001.ITS1.fastq.gz,27450,20163
FS-53N_R1_001.ITS1.fastq.gz,308,246
FS-53W_R1_001.ITS1.fastq.gz,6647,4595
FS-54E_R1_001.ITS1.fastq.gz,9670,8793
FS-54N_R1_001.ITS1.fastq.gz,11358,8411
FS-54W_R1_001.ITS1.fastq.gz,9,8
FS-59E_R1_001.ITS1.fastq.gz,2315,1833
FS-59N_R1_001.ITS1.fastq.gz,7807,6276
FS-59W_R1_001.ITS1.fastq.gz,3019,2045
FS-60E_R1_001.ITS1.fastq.gz,10833,8460
FS-60N_R1_001.ITS1.fastq.gz,524,353
FS-60W_R1_001.ITS1.fastq.gz,22858,18202
FS-71E_R1_001.ITS1.fastq.gz,245,168
FS-71N_R1_001.ITS1.fastq.gz,5020,4075
FS-71W_R1_001.ITS1.fastq.gz,8812,7547
FS-72E_R1_001.ITS1.fastq.gz,21740,18839
FS-72N_R1_001.ITS1.fastq.gz,637,599
FS-72W_R1_001.ITS1.fastq.gz,5723,4996
FS-73E_R1_001.ITS1.fastq.gz,309,134
FS-73N_R1_001.ITS1.fastq.gz,1,1
FS-74E_R1_001.ITS1.fastq.gz,1,1
FS-74N_R1_001.ITS1.fastq.gz,445,291
FS-74W_R1_001.ITS1.fastq.gz,443,318
FS-77E_R1_001.ITS1.fastq.gz,617,309
FS-77N_R1_001.ITS1.fastq.gz,5,1
FS-77W_R1_001.ITS1.fastq.gz,558,343
FS-78E_R1_001.ITS1.fastq.gz,115,100
FS-81E_R1_001.ITS1.fastq.gz,953,602
FS-81N_R1_001.ITS1.fastq.gz,157,148
FS-81W_R1_001.ITS1.fastq.gz,7388,5884
FS-82E_R1_001.ITS1.fastq.gz,2296,1992
FS-82N_R1_001.ITS1.fastq.gz,2604,1567
FS-82W_R1_001.ITS1.fastq.gz,8709,6420
FS-NEG-1_R1_001.ITS1.fastq.gz,7,6
FS-NEG2_R1_001.ITS1.fastq.gz,118,108
Fungal-POS_R1_001.ITS1.fastq.gz,48,27
WS-10-1-F_R1_001.ITS1.fastq.gz,0,0
WS-10-2-F_R1_001.ITS1.fastq.gz,14,11
WS-10-3-F_R1_001.ITS1.fastq.gz,4,4
WS-10-4-F_R1_001.ITS1.fastq.gz,16077,14992
WS-10-5-F_R1_001.ITS1.fastq.gz,30724,28152
WS-11-1-F_R1_001.ITS1.fastq.gz,32447,29947
WS-11-2-F_R1_001.ITS1.fastq.gz,24001,23147
WS-11-3-F_R1_001.ITS1.fastq.gz,42394,39525
WS-11-4-F_R1_001.ITS1.fastq.gz,46748,44754
WS-11-5-F_R1_001.ITS1.fastq.gz,40629,38767
WS-1-1-F_R1_001.ITS1.fastq.gz,19375,18229
WS-12-1-F_R1_001.ITS1.fastq.gz,48,31
WS-12-2-F_R1_001.ITS1.fastq.gz,36897,35085
WS-12-3-F_R1_001.ITS1.fastq.gz,47065,44890
WS-12-4-F_R1_001.ITS1.fastq.gz,42663,39699
WS-12-5-F_R1_001.ITS1.fastq.gz,919,818
WS-1-2-F_R1_001.ITS1.fastq.gz,107697,99448
WS-13-1-F_R1_001.ITS1.fastq.gz,481,303
WS-13-2-F_R1_001.ITS1.fastq.gz,5595,5317
WS-13-3-F_R1_001.ITS1.fastq.gz,54390,49301
WS-13-4-F_R1_001.ITS1.fastq.gz,54748,53607
WS-13-5-F_R1_001.ITS1.fastq.gz,2,2
WS-1-3-F_R1_001.ITS1.fastq.gz,11292,7873
WS-14-1-F_R1_001.ITS1.fastq.gz,6,5
WS-14-2-F_R1_001.ITS1.fastq.gz,1612,1544
WS-14-3-F_R1_001.ITS1.fastq.gz,2088,2039
WS-14-4-F_R1_001.ITS1.fastq.gz,2051,1981
WS-14-5-F_R1_001.ITS1.fastq.gz,1615,1563
WS-1-4-F_R1_001.ITS1.fastq.gz,65473,59601
WS-15-1-F_R1_001.ITS1.fastq.gz,172,5
WS-15-2-F_R1_001.ITS1.fastq.gz,0,0
WS-15-3-F_R1_001.ITS1.fastq.gz,23262,22055
WS-15-4-F_R1_001.ITS1.fastq.gz,29402,27219
