cluster,num,lon,lat,pH,EC,GWC,per_clay,per_sand,per_silt,Al,As,B,Ca,Cd,Co,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,P,S,Ti,Zn,per_som,PerN,PerC,CNRatio,Ele
1,1,-94.23410343,36.06571648,6.03,103.5,0.258445913,13.168,17.125,69.707,39.8,0.009,4.56,210,0.006,0.023,0.011,0.154,32.4,6.07,10.5,3.36,0.001,12.4,0.114,0.767,1.18,0.036,0.297,4.1975,0.254517525,3.129803658,12.29700661,375.133
1,2,-94.23405722,36.06576949,6.22,148.4,0.313287329,11.1105,17.375,71.5145,29.1,0.006,4.03,186,0.007,0.032,0.008,0.178,26.3,5.62,9.03,3.03,0.001,11.9,0.119,0.532,0.809,0.043,0.321,3.655,0.201482594,2.428697824,12.05413246,375.141
1,3,-94.2340157,36.06577177,6.36,150.1,0.266301032,17.283,19.625,63.092,37.2,0.005,4.21,185,0.003,0.029,0.01,0.104,26.5,5.24,10.2,3.3,0,10.5,0.088,0.637,0.932,0.031,0.166,3.29,0.196132883,2.484981298,12.66988659,375.147
1,4,-94.23418015,36.0658188,5.93,125.8,0.35085038,9.053,12.75,78.197,48.9,0.007,4.41,206,0.004,0.024,0.017,0.116,37.9,6.03,12.1,3.51,0,11,0.102,0.663,0.889,0.031,0.189,2.43,0.192632779,2.130046844,11.05755138,375.157
1,5,-94.23410468,36.06584932,5.77,91.5,0.372335454,13.168,12.25,74.582,49.8,0.009,4.63,211,0.004,0.024,0.019,0.095,41.2,6.23,11.2,3.58,0.001,11.3,0.101,0.553,0.935,0.037,0.195,3.29,0.184050113,2.085236549,11.32972145,375.174
2,1,-94.23422843,36.06586428,6.74,375.5,0.301837673,15.3078,21.375,63.3172,46.8,0.005,4.56,145,0.003,0.015,0.016,0.09,25,4.33,2.91,2.88,0.001,7.28,0.098,0.712,1.03,0.045,0.169,2.9225,0.174680829,2.065984726,11.82719803,375.25003
2,2,-94.23415139,36.06587111,6.9,175.8,0.301219971,18.55865,24.5,56.94135,39.2,0.012,4.64,199,0.003,0.02,0.014,0.11,32.9,4.11,6,2.34,0,10.4,0.055,0.672,1.11,0.033,0.225,3.515,0.199494362,2.335890055,11.70905304,375.277
2,3,-94.23429717,36.06597562,5.44,58.2,0.308142687,23.476075,25.875,50.648925,64.7,0.003,4.77,65.6,0.003,0.018,0.01,0.081,29.9,23.2,1.82,2.78,0,6.22,0.06,1.74,1.19,0.046,0.171,3.5125,0.192494512,2.100561857,10.91232109,375.28802
2,4,-94.23414689,36.06600079,6.46,105.5,0.321508241,20.28695,22.375,57.33805,44.7,0.003,4.54,165,0.003,0.018,0.01,0.104,29.9,3.44,7.31,2.88,0.001,9.63,0.094,0.736,1,0.032,0.212,3.055,0.204341695,2.224017382,10.88381577,375.32397
2,5,-94.23403395,36.06602229,5.76,62.4,0.333777701,16.99495,13.125,69.88005,50.6,0,4.44,160,0.003,0.028,0.018,0.102,38.2,4.18,8.93,2.96,0.002,12,0.09,0.453,0.853,0.041,0.169,3.2825,0.189385518,2.229762793,11.77367115,375.094
3,1,-94.23442577,36.06589736,5.6,64.1,0.373183741,12.13925,17.5,70.36075,62.7,0.004,4.6,97.7,0.005,0.013,0.021,0.084,33.7,4.39,7.26,1.14,0.001,7.89,0.06,0.713,1.08,0.052,0.146,3.17,0.189532697,2.080583334,10.97743702,375.073
3,2,-94.23436227,36.06590523,5.82,60.9,0.360225567,14.0733,16.625,69.3017,54.4,0.006,4.58,111,0.003,0.013,0.02,0.087,34.1,4.8,6.59,1.08,0.001,8.25,0.056,0.777,0.885,0.052,0.15,27.33,0.186260656,1.974066734,10.59840965,375.07803
3,3,-94.23452778,36.06597083,5.76,78.6,0.347770739,13.641225,20.875,65.483775,51.9,0.01,4.44,143,0.003,0.021,0.017,0.096,30,4.54,4.03,2.64,0.001,10.3,0.073,0.772,1.1,0.031,0.168,3.5525,0.195591107,2.338530779,11.95622253,375.323
3,4,-94.23448112,36.06599899,6.09,82.3,0.378410553,32.30275,18.5,49.19725,42.7,0.011,4.56,184,0.026,0.023,0.011,0.136,35,5.31,8.89,3.13,0,14.8,0.146,1.07,1.42,0.041,0.315,4.3975,0.254159242,2.835458994,11.15622997,375.10703
3,5,-94.23438055,36.06596997,5.67,67,0.071875093,16.027925,19.875,64.097075,52.6,0.015,4.41,115,0.02,0.017,0.018,0.122,31.4,5.55,6.59,1.44,0.002,7.73,0.138,1.13,0.969,0.046,0.308,3.335,0.193990931,2.129352331,10.97655582,375.114
4,1,-94.23404428,36.06624063,6.05,71.1,0.331231397,10.020025,18.625,71.354975,43.9,0,4.28,162,0.012,0.035,0.012,0.151,28.8,3.66,7.43,3.18,0,10.9,0.123,0.592,0.966,0.038,0.248,3.1225,0.205640897,2.204626083,10.72075653,375.183
4,2,-94.23405611,36.06617313,6.53,85.4,0.368014326,9.814275,17.625,72.560725,52.9,0.014,4.71,189,0.012,0.026,0.017,0.152,41,7.2,10.6,2.52,0.001,12.8,0.131,0.937,1.09,0.043,0.28,3.6525,0.25209552,2.723008871,10.80149651,375.135
4,3,-94.23407908,36.0661305,5.68,64.8,0.343086444,9.25875,16.875,73.86625,53.3,0.008,4.51,144,0.004,0.02,0.017,0.105,32.8,4.65,9.03,2.54,0.001,12.1,0.085,0.744,0.807,0.037,0.195,2.91,0.187410757,2.028853893,10.82570648,375.101
4,4,-94.23420233,36.06611855,6.55,127.5,0.33395044,12.530175,19.75,67.719825,38.5,0.013,4.61,203,0.005,0.031,0.013,0.12,37,4.57,12.3,3.69,0.001,16.2,0.099,0.982,0.982,0.036,0.255,3.5975,0.226232037,2.43539691,10.7650404,375.16
4,5,-94.23417143,36.0661702,5.52,81.1,0.345850493,10.98705,16.625,72.38795,59.1,0.012,4.92,197,0.005,0.027,0.023,0.078,46.2,7.52,9.86,2.19,0.002,12.8,0.109,0.888,1.22,0.047,0.287,3.385,0.233234629,2.387821436,10.23785114,375.126
5,1,-94.23429467,36.06614293,6.31,119.6,0.374697549,10.637275,22,67.362725,45.9,0.01,4.62,234,0.006,0.041,0.014,0.125,37,5.16,12.4,4.04,0.001,11.5,0.105,0.768,0.958,0.033,0.297,3.1725,0.267985702,2.98639226,11.14384937,375.134
5,2,-94.23429278,36.06609553,5.76,73.1,0.307924432,5.80215,20.5,73.69785,49.1,0.009,4.73,151,0.004,0.024,0.018,0.096,37.7,5.47,7.36,2.9,0,9.73,0.17,0.842,0.896,0.041,0.242,3.095,0.189567178,2.115559578,11.15994644,375.079
5,3,-94.23436489,36.0661064,5.81,69.3,0.348470294,5.761,20.5,73.739,49.5,0.01,4.68,209,0.006,0.023,0.02,0.105,39,5.97,8.88,2.17,0.001,10.3,0.088,0.661,0.962,0.033,0.247,4,0.226608038,2.503144979,11.04614353,375.162
5,4,-94.23435658,36.06616866,6.14,105.8,0.352038509,8.02425,21.625,70.35075,52.5,0.008,4.58,224,0.005,0.031,0.016,0.148,38.4,6.17,10.8,3.35,0,10.5,0.097,0.966,1.03,0.027,0.341,4.7775,0.283598989,3.113372326,10.9780798,375.12897
5,5,-94.23449451,36.06608295,6.04,82.5,0.329707338,6.95435,17.875,75.17065,46.8,0.01,4.52,181,0.006,0.019,0.014,0.095,36.1,5.24,8.06,2.7,0,8.97,0.133,0.89,0.858,0.032,0.257,3.6775,0.234410465,2.65879941,11.34249496,375.237
6,1,-94.23451969,36.06609271,5.69,86.1,0.283545315,7.221825,17.625,75.153175,55,0.01,4.62,147,0.006,0.016,0.017,0.131,34.8,7.21,8.08,2.05,0.001,9.57,0.158,0.948,1.01,0.032,0.191,3.3075,0.216104537,2.521569014,11.66828346,375.079
6,2,-94.23466227,36.06607313,6.78,141.2,0.342077664,13.394325,28.625,57.980675,58.1,0.008,4.6,163,0.005,0.018,0.019,0.088,35,7.57,8.92,2.22,0,10.1,0.167,0.982,1.13,0.029,0.208,3.52,0.212927625,2.403686523,11.28874874,375.092
6,3,-94.2347559,36.06612343,5.92,101.5,0.191210313,12.200975,19.375,68.424025,41.8,0.01,4.96,117,0.007,0.023,0.016,0.112,40.2,4.89,7.06,2.73,0,16.3,0.156,0.938,1.19,0.055,0.229,3.455,0.205999672,2.164727449,10.50840282,375.114
6,4,-94.23454955,36.06614699,6.31,94.5,0.204530545,8.60035,19.375,72.02465,45.5,0.006,4.61,174,0.007,0.023,0.015,0.119,28.7,4.37,6.39,3.33,0.001,10.3,0.084,0.775,1.14,0.03,0.183,3.6125,0.211222246,2.310796499,10.94011879,375.1
6,5,-94.2344852,36.06620176,6.32,101.4,0.288752594,16.99495,18.875,64.13005,39.2,0.006,4.6,184,0.007,0.021,0.011,0.163,29.8,5.32,10.9,2.71,0,9.48,0.074,1.1,0.98,0.032,0.301,4.8875,0.252110571,2.904483318,11.5206728,375.16104
7,1,-94.23406156,36.06636367,6.19,70.5,0.276252481,2.67475,25.75,71.57525,49.1,0,4.84,138,0.008,0.015,0.006,0.104,18.9,5.48,6.35,2.95,0,7.23,0.087,2.3,0.958,0.027,0.189,3.685,0.217780814,2.682039022,12.31531334,375.559
7,2,-94.23418202,36.06628684,5.86,61.3,0.383407125,7.880225,21,71.119775,43.1,0,4.63,139,0.007,0.022,0.012,0.185,29.7,3.35,5.83,2.89,0.001,8.58,0.074,0.813,0.783,0.039,0.252,4.845,0.221167713,2.401694059,10.85915279,375.21
7,3,-94.23429759,36.06627432,6.29,104.5,0.355277136,14.916875,18.5,66.583125,48.8,0.005,4.55,195,0.006,0.025,0.016,0.311,31.6,5.8,11.4,2.6,0.001,10.6,0.083,1.13,1.07,0.034,0.298,3.105,0.239836335,2.61151576,10.88874149,375.231
7,4,-94.23436016,36.06631323,6.58,107.8,0.208420609,18.167725,22.75,59.082275,44.3,0,4.5,176,0.006,0.015,0.01,0.143,23.8,4.31,7.66,2.7,0.001,8.9,0.098,0.966,0.993,0.031,0.166,2.8675,0.195943817,2.26168561,11.54252052,375.30603
7,5,-94.23425898,36.06636947,6.96,109.1,0.328143828,12.283275,21.5,66.216725,40,0.013,4.57,218,0.009,0.033,0.01,0.124,32.5,4.81,7.78,3.2,0,11.5,0.086,1.03,0.974,0.029,0.263,3.385,0.205765769,2.346986055,11.40610504,375.175
8,1,-94.23446379,36.06631667,6.1,94.1,0.21209829,12.55075,30.375,57.07425,57.8,0.004,4.98,149,0.01,0.006,0.007,0.146,18.9,4.83,5.2,1.48,0,5.72,0.168,4.04,1.35,0.029,0.29,4.51,0.252771825,2.885404825,11.41505718,375.76904
8,2,-94.23458283,36.0663276,6.36,85.4,0.236578506,29.17535,29.25,41.57465,51.2,0.008,4.96,132,0.009,0.01,0.011,0.164,24.4,4.79,3.13,2.01,0.002,6.43,0.096,1.86,1.13,0.033,0.198,3.415,0.20013608,2.244602919,11.21538353,375.274
